"","sample_id","mean","var","I_bar","SI_0","SI_0.1","SI_0.2","SI_0.3","SI_0.4","SI_0.5","SI_0.6","SI_0.7","SI_0.8","SI_0.9","SI_1"
"46","ID 1006 Year 88",4134.44664470401,1530347.52316293,4134.44664470401,4134.44664470401,4010.73942894184,3887.03221317966,3763.32499741749,3639.61778165531,3515.91056589314,3392.20335013096,3268.49613436879,3144.78891860661,3021.08170284444,2897.37448708226
"47","ID 289 Year 88",4099.42963572976,1047560.30945853,4099.42963572976,4099.42963572976,3997.07924201002,3894.72884829028,3792.37845457054,3690.02806085081,3587.67766713107,3485.32727341133,3382.97687969159,3280.62648597186,3178.27609225212,3075.92569853238
"48","ID 1062 Year 88",4084.10707085625,168969.656604221,4084.10707085625,4084.10707085625,4043.00115198753,4001.8952331188,3960.78931425008,3919.68339538135,3878.57747651263,3837.4715576439,3796.36563877518,3755.25971990645,3714.15380103773,3673.047882169
"49","ID 1032 Year 89",4074.10995893263,160143.870695425,4074.10995893263,4074.10995893263,4034.09197913661,3994.0739993406,3954.05601954459,3914.03803974857,3874.02005995256,3834.00208015654,3793.98410036053,3753.96612056451,3713.9481407685,3673.93016097248
"50","ID 1063 Year 88",4036.74386054587,311869.059222638,4036.74386054587,4036.74386054587,3980.89862268062,3925.05338481537,3869.20814695012,3813.36290908487,3757.51767121962,3701.67243335437,3645.82719548912,3589.98195762387,3534.13671975862,3478.29148189337
"51","ID 1037 Year 89",3995.85910903777,496848.965058112,3995.85910903777,3995.85910903777,3925.37159489107,3854.88408074437,3784.39656659767,3713.90905245097,3643.42153830427,3572.93402415757,3502.44651001087,3431.95899586417,3361.47148171748,3290.98396757078
"52","ID 1047 Year 89",3974.14648754333,468128.894605209,3974.14648754333,3974.14648754333,3905.72654201535,3837.30659648737,3768.88665095939,3700.4667054314,3632.04675990342,3563.62681437544,3495.20686884746,3426.78692331947,3358.36697779149,3289.94703226351
"53","ID 1071 Year 89",3964.05401163876,85459.9055378657,3964.05401163876,3964.05401163876,3934.82048541665,3905.58695919454,3876.35343297243,3847.11990675032,3817.88638052822,3788.65285430611,3759.419328084,3730.18580186189,3700.95227563979,3671.71874941768
"54","ID 377 Year 90",3938.54960820295,486888.350648768,3938.54960820295,3938.54960820295,3868.77222285148,3798.99483750001,3729.21745214854,3659.44006679707,3589.6626814456,3519.88529609413,3450.10791074266,3380.33052539118,3310.55314003971,3240.77575468824
"55","ID 393 Year 88",3893.43798204302,217002.160837396,3893.43798204302,3893.43798204302,3846.85449131536,3800.2710005877,3753.68750986004,3707.10401913238,3660.52052840472,3613.93703767706,3567.3535469494,3520.77005622174,3474.18656549408,3427.60307476642
"56","ID 1101 Year 90",3884.01364937161,1400974.48780605,3884.01364937161,3884.01364937161,3765.65088124725,3647.2881131229,3528.92534499854,3410.56257687418,3292.19980874982,3173.83704062546,3055.47427250111,2937.11150437675,2818.74873625239,2700.38596812803
"57","ID 1111 Year 90",3862.23220599641,1474831.61453171,3862.23220599641,3862.23220599641,3740.78956049938,3619.34691500235,3497.90426950532,3376.46162400829,3255.01897851126,3133.57633301423,3012.13368751721,2890.69104202018,2769.24839652315,2647.80575102612
