"","sample_id","mean","median","var","sd","cv","I_bar","SI_0","rank_0","SI_0.1","rank_0.1","SI_0.2","rank_0.2","SI_0.3","rank_0.3","SI_0.4","rank_0.4","SI_0.5","rank_0.5","SI_0.6","rank_0.6","SI_0.7","rank_0.7","SI_0.8","rank_0.8","SI_0.9","rank_0.9","SI_1","rank_1"
"18","ID 1015 Year 88",4869.66071423073,4796.35898117891,703298.870270571,838.629161352365,0.172215111188674,4869.66071423073,4869.66071423073,18,4785.7977980955,16,4701.93488196026,15,4618.07196582503,13,4534.20904968979,12,4450.34613355455,12,4366.48321741932,11,4282.62030128408,12,4198.75738514884,13,4114.89446901361,13,4031.03155287837,12
"19","ID 379 Year 89",4801.27721430175,4804.34451309894,1577610.97029281,1256.02984450721,0.261603275221398,4801.27721430175,4801.27721430175,19,4675.67422985103,19,4550.07124540031,20,4424.46826094959,21,4298.86527649887,22,4173.26229204815,20,4047.65930759743,20,3922.0563231467,22,3796.45333869598,22,3670.85035424526,26,3545.24736979454,27
"20","ID 1014 Year 88",4754.07460463626,4744.25676061,2688953.94541009,1639.80302030765,0.344925807160974,4754.07460463626,4754.07460463626,20,4590.09430260549,22,4426.11400057473,23,4262.13369854396,24,4098.1533965132,28,3934.17309448243,31,3770.19279245167,37,3606.2124904209,41,3442.23218839014,43,3278.25188635937,47,3114.27158432861,47
"21","ID 1129 Year 90",4741.28251316838,5052.78627806394,4576478.57422846,2139.27057059841,0.451200822700784,4741.28251316838,4741.28251316838,21,4527.35545610854,24,4313.4283990487,28,4099.50134198886,36,3885.57428492902,42,3671.64722786918,45,3457.72017080934,51,3243.79311374949,55,3029.86605668965,60,2815.93899962981,65,2602.01194256997,69
"22","ID 1067 Year 88",4705.33217147914,4697.16497197287,510057.481821081,714.183087044969,0.151781651330359,4705.33217147914,4705.33217147914,22,4633.91386277465,20,4562.49555407015,18,4491.07724536565,17,4419.65893666115,15,4348.24062795666,15,4276.82231925216,15,4205.40401054766,15,4133.98570184317,15,4062.56739313867,15,3991.14908443417,14
"23","ID 1130 Year 90",4704.91220886793,4323.36500789048,643070.929150272,801.917033832224,0.170442507369373,4704.91220886793,4704.91220886793,23,4624.72050548471,21,4544.52880210149,21,4464.33709871827,20,4384.14539533504,18,4303.95369195182,17,4223.7619885686,16,4143.57028518538,16,4063.37858180215,16,3983.18687841893,16,3902.99517503571,15
"24","ID 294 Year 90",4657.76417938193,4268.5767445053,2184871.37968999,1478.13104280033,0.317347762976801,4657.76417938193,4657.76417938193,24,4509.9510751019,25,4362.13797082187,26,4214.32486654183,27,4066.5117622618,29,3918.69865798177,33,3770.88555370173,36,3623.0724494217,39,3475.25934514167,40,3327.44624086163,42,3179.6331365816,43
"25","ID 1115 Year 90",4632.64162192723,4321.3831203942,2147140.4398437,1465.31240349753,0.316301696328485,4632.64162192723,4632.64162192723,25,4486.11038157748,27,4339.57914122772,27,4193.04790087797,29,4046.51666052822,33,3899.98542017847,34,3753.45417982871,41,3606.92293947896,40,3460.39169912921,42,3313.86045877946,43,3167.3292184297,44
"26","ID 1042 Year 89",4626.95070855712,4137.20093807945,1594868.67860407,1262.88110232281,0.272940254147775,4626.95070855712,4626.95070855712,26,4500.66259832484,26,4374.37448809256,25,4248.08637786028,25,4121.798267628,27,3995.51015739572,27,3869.22204716344,27,3742.93393693116,31,3616.64582669888,34,3490.3577164666,35,3364.06960623431,36
"27","ID 1118 Year 90",4621.93770524238,4558.22700925242,232520.98454991,482.20429752327,0.104329467049358,4621.93770524238,4621.93770524238,27,4573.71727549005,23,4525.49684573772,22,4477.27641598539,18,4429.05598623307,14,4380.83555648074,13,4332.61512672841,13,4284.39469697609,11,4236.17426722376,11,4187.95383747143,11,4139.73340771911,10
"28","ID 1099 Year 90",4597.95695157213,4505.09923241226,2108086.40603706,1451.92506901598,0.315776133684666,4597.95695157213,4597.95695157213,28,4452.76444467053,28,4307.57193776893,29,4162.37943086733,32,4017.18692396574,34,3871.99441706414,38,3726.80191016254,42,3581.60940326094,42,3436.41689635934,44,3291.22438945775,46,3146.03188255615,45
"29","ID 1119 Year 90",4493.97102496434,4316.14259679832,1160639.94982594,1077.33000971194,0.239727849540484,4493.97102496434,4493.97102496434,29,4386.23802399314,30,4278.50502302195,31,4170.77202205076,31,4063.03902107956,30,3955.30602010837,29,3847.57301913717,30,3739.84001816598,32,3632.10701719478,32,3524.37401622359,34,3416.64101525239,35
"30","ID 1075 Year 88",4483.26118707272,4512.15695513471,105516.23832899,324.832631256452,0.0724545409473558,4483.26118707272,4483.26118707272,30,4450.77792394708,29,4418.29466082143,24,4385.81139769579,23,4353.32813457014,19,4320.8448714445,16,4288.36160831885,14,4255.87834519321,14,4223.39508206756,12,4190.91181894192,10,4158.42855581627,8
"31","ID 1076 Year 88",4447.52574486512,4470.51274216538,1321344.37428036,1149.49744422524,0.258457738114814,4447.52574486512,4447.52574486512,31,4332.5760004426,34,4217.62625602007,35,4102.67651159755,35,3987.72676717502,36,3872.7770227525,37,3757.82727832998,40,3642.87753390745,38,3527.92778948493,37,3412.9780450624,38,3298.02830063988,37
"32","ID 360 Year 90",4437.94326630156,4008.61477256454,954094.149626235,976.77743095663,0.220096871984271,4437.94326630156,4437.94326630156,32,4340.2655232059,33,4242.58778011023,33,4144.91003701457,33,4047.23229391891,32,3949.55455082324,30,3851.87680772758,28,3754.19906463192,30,3656.52132153626,29,3558.84357844059,31,3461.16583534493,33
"33","ID 1123 Year 90",4437.05297964714,4541.61816878925,446538.940725363,668.235692495816,0.150603496411025,4437.05297964714,4437.05297964714,33,4370.22941039756,31,4303.40584114798,30,4236.58227189839,26,4169.75870264881,24,4102.93513339923,22,4036.11156414965,22,3969.28799490007,20,3902.46442565049,19,3835.6408564009,18,3768.81728715132,18
